item_id,subject
lewis-caliphs-design,Wyndham Lewis
lewis-caliphs-design,Avant-garde (Aesthetics)
simonds-can-america-stay,United States
simonds-can-america-stay,Politics and government
simonds-can-america-stay,Europe
simonds-can-america-stay,Diplomatic relations
danks-canterbury,Travel
danks-canterbury,England--Canterbury
marx-capital-critique-political,Economics
marx-capital-critique-political,Capital
walpole-captives-novel-four,English fiction
caravan,United States
caravan,African American businesspeople
caravan,"Business enterprises, Black"
christie-cards-table,Hercule Poirot
frank-carl-anna,Basic English
sabatini-carolinian,United States
sabatini-carolinian,American Revolution (1775-1783)
sabatini-carolinian,South Carolina
zweig-case-sergeant-grischa,World War (1914-1918)
propper-case-cheating-bride,Murder
propper-case-cheating-bride,Criminal investigation
propper-case-cheating-bride,Detective and mystery stories
gardner-case-howling-dog,United States
gardner-case-howling-dog,Lawyers
gardner-case-howling-dog,Perry Mason
gardner-case-howling-dog,Lawyers--United States
gardner-case-lame-canary,Detective and mystery stories
gardner-case-lucky-legs,Detective and mystery stories
gardner-case-shoplifters-shoe,Detective and mystery stories
gardner-case-substitute-face,Trials (Murder)
gardner-case-substitute-face,Perry Mason
gardner-case-velvet-claws,Trials (Murder)
gardner-case-velvet-claws,Perry Mason
cassells-german-english,English language
cassells-german-english,German language
baring-cats-cradle,Cats
baring-cats-cradle,Miniature books
baring-cats-cradle,Children's literature
stevenson-catriona,Scotland
clarke-cattledrive-connaught-poems,"Epic literature, Irish"
verga-cavalleria-rusticana-stories,"Short stories, Italian"
jeffers-cawdor-poems,Poetry
yeats-celtic-twilight,Ireland
yeats-celtic-twilight,Folklore
yeats-celtic-twilight,Tales
yeats-celtic-twilight,Folklore--Ireland
yeats-celtic-twilight,"Mythology, Celtic--Ireland"
yeats-celtic-twilight,Tales--Ireland
yeats-celtic-twilight,"Mythology, Celtic"
hardy-changed-man,England
hardy-changed-man,Manners and customs
hardy-changed-man,"Short stories, English"
hardy-changed-man,England--Wessex
hazlitt-characters-shakespeares-plays,William Shakespeare
hazlitt-characters-shakespeares-plays,Characters and characteristics
thompson-chariot-wheels,English fiction--Women authors
charles-morgan,Land titles
charles-morgan,Charles Morgan
charles-morgan,Louisiana
chatto-windus-miscellany,English literature
chatto-windus-miscellany,English literature--20th century
coulton-chaucer-england,England
coulton-chaucer-england,Manners and customs
coulton-chaucer-england,Geoffrey Chaucer
ferber-cheerful-request,United States
ferber-cheerful-request,Working class women
chesterfield-chesterfields-letters,Maxims
chesterfield-chesterfields-letters,Readers
chesterfield-chesterfields-letters,Letters
stevenson-childs-garden-verses,Families
stevenson-childs-garden-verses,Play
stevenson-childs-garden-verses,"Children's poetry, Scottish"
dickens-childs-history-england,"Children's literature, English--History and criticism"
dickens-childs-history-england,"Children's stories, English"
dickens-childs-history-england,"Children's stories, English--History and criticism"
dickens-childs-history-england,"Children's literature, English"
herford-childs-primer-natural,Natural history
hamsun-children-age,Norway
zangwill-children-ghetto-study,England--London
zangwill-children-ghetto-study,Jews
zangwill-children-ghetto-study,Jews--England--London
fenollosa-chinese-written-character,Poetry
fenollosa-chinese-written-character,Chinese language--Writing
fenollosa-chinese-written-character,Chinese poetry
fenollosa-chinese-written-character,"Grammar, Comparative and general"
wells-christina-albertas-father,Hallucinations and illusions
beerbohm-christmas-garland,Parodies
maugham-christmas-holiday,English literature
arnold-civilization-united-states,Civilization
arnold-civilization-united-states,United States
arnold-civilization-united-states,Ulysses S. Grant
orwell-clergymans-daughter,Children of clergy
macpherson-close,Motion pictures
cloud-unknowing,"Mysticism--History--Middle Ages, 600-1500"
cloud-unknowing,Mysticism--Middle Ages
gatenby-cloud-men-yamato,Japanese literature
chesterton-club-queer-trades,"Detective and mystery stories, English"
macmurray-clue-history,Jews
macmurray-clue-history,Christianity
macmurray-clue-history,Communism
macmurray-clue-history,Christian sociology--History
macmurray-clue-history,Fascism
macmurray-clue-history,"Pamphlets, etc."
macmurray-clue-history,Christianity and other religions--Judaism
macmurray-clue-history,Interfaith relations
macmurray-clue-history,Judaism
macmurray-clue-history,Christian sociology
lang-cock-lane-common,Parapsychology
lang-cock-lane-common,Ghosts
saintsbury-collected-essays-papers,English literature
saintsbury-collected-essays-papers,Literature
saintsbury-collected-essays-papers,Literature--History and criticism
saintsbury-collected-essays-papers,English literature--19th century--History and criticism
saintsbury-collected-essays-papers,French literature--History and criticism
saintsbury-collected-essays-papers,French literature
hardy-collected-poems-thomas,England--Wessex
hardy-collected-poems-thomas,"Pastoral poetry, English"
hardy-collected-poems-thomas,Country life
yeats-collected-poems-w,English poetry
yeats-collected-poems-w,W. B. Yeats
dreiser-color-great-city,Travel
dreiser-color-great-city,Social conditions
dreiser-color-great-city,New York (State)--New York
lucas-colvins-friends,"Authors, English"
lucas-colvins-friends,Sidney Colvin
congreve-comedies-william-congreve,"Old batchelour (Congreve, William)"
congreve-comedies-william-congreve,"Double-dealer (Congreve, William)"
congreve-comedies-william-congreve,William Congreve
moore-coming-gabrielle,Drama
beals-coming-struggle-latin,Politics and government
beals-coming-struggle-latin,Latin America
marlowe-coming-sir-autobiography,Waiters
granville-barker-companion-shakespeare-studies,William Shakespeare
lindsey-companionate-marriage,Sexual ethics
lindsey-companionate-marriage,Companionate marriage
gould-concerning-lafcadio-hearn,Lafcadio Hearn
joyce-concise-history-ireland,Ireland
de-la-mare-connoisseur-stories,"Short stories, English"
ofaolain-constance-markievicz-average,Constance de Markievicz
contact-collection-contemporary,American literature
contact-collection-contemporary,English literature
contact-collection-contemporary,English literature--20th century
contact-collection-contemporary,American literature--20th century
riding-contemporaries-snobs,Poetry
riding-contemporaries-snobs,Gertrude Stein
riding-contemporaries-snobs,Edgar Allan Poe
riding-contemporaries-snobs,T. E. Hulme
muirhead-contemporary-british-philosophy,General works
boyd-contemporary-drama-ireland,English drama--Irish authors
boyd-contemporary-drama-ireland,English drama--Irish authors--History and criticism
lalou-contemporary-french-literature,French literature
lalou-contemporary-french-literature,French literature--19th century--History and criticism
lalou-contemporary-french-literature,French literature--20th century--History and criticism
rose-contemporary-movements-european,Literature
rose-contemporary-movements-european,"Literature, Modern"
rose-contemporary-movements-european,"Literature, Modern--20th century--History and criticism"
rose-contemporary-movements-european,Europe
contemporary-poetry-prose,"Literature, Modern"
harris-contemporary-portraits,Authors
harris-contemporary-portraits,Artists
mirskij-contemporary-russian-literature,Russian literature
mirskij-contemporary-russian-literature,Russian literature--History and criticism
lowes-convention-revolt-poetry,Poetry
lowes-convention-revolt-poetry,English poetry
lowes-convention-revolt-poetry,English poetry--History and criticism
moore-conversations-george-moore,George Moore
chekhov-cooks-wedding-stories,Manners and customs
chekhov-cooks-wedding-stories,Russia
chekhov-cooks-wedding-stories,Anton Pavlovich Chekhov
chekhov-cooks-wedding-stories,"Short stories, Russian"
foster-coquette-history-eliza,Elizabeth Whitman
foster-coquette-history-eliza,Pierpont Edwards
aiken-costumes-eros,"Short stories, American"
williams-craft-literature,English literature
williams-craft-literature,Literature
williams-craft-literature,Literature--History and criticism
williams-craft-literature,English literature--History and criticism
williams-craft-literature,Authorship
beals-crime-cuba,Gerardo Machado y Morales
west-crisis-criticism,Criticism
west-crisis-criticism,Socialism
west-crisis-criticism,"Literature--Theory, etc."
west-crisis-criticism,"Literature--History and criticism--Theory, etc"
nathan-critic-drama,Drama
nathan-critic-drama,Theater
nathan-critic-drama,Drama--History and criticism
macaulay-critical-historical-essays,English literature
macaulay-critical-historical-essays,English literature--History and criticism
macaulay-critical-historical-essays,Great Britain
ford-critical-attitude,English literature
ford-critical-attitude,English literature--20th century--History and criticism
ford-critical-attitude,Criticism
babbitt-criticism-america-function,United States
babbitt-criticism-america-function,Criticism
babbitt-criticism-america-function,Criticism--United States
roberts-critique-poetry,Poetry
grierson-cross-currents-english,Intellectual life
grierson-cross-currents-english,Great Britain
grierson-cross-currents-english,"English literature--Early modern, 1500-1700--History and criticism"
grierson-cross-currents-english,English literature--Early modern
grierson-cross-currents-english,Religion in literature
colum-cross-roads-ireland,Travel
colum-cross-roads-ireland,Ireland
colum-cross-roads-ireland,Manners and customs
colum-cross-roads-ireland,Padraic Colum
butts-crystal-cabinet,"Authors, English"
butts-crystal-cabinet,Mary Butts
eddy-cubists-post-impressionism,Post-impressionism (Art)
eddy-cubists-post-impressionism,Cubism
eddy-cubists-post-impressionism,Impressionism (Art)
mumford-culture-cities,Cities and towns
mumford-culture-cities,Regional planning
mumford-culture-cities,City planning
sinclair-cure-souls,Preaching
sinclair-cure-souls,Pastoral theology
sinclair-cure-souls,1801-1950
tagore-cycle-spring,Indic drama (English)
gardner-calls-murder,Public prosecutors
west-h-lawrence,D. H. Lawrence
potter-h-lawrence-first,"Authors, English"
chambers-h-lawrence-personal,D. H. Lawrence
haldane-daedalus-science-future,Biology
haldane-daedalus-science-future,Science
james-daisy-miller,Manners and customs
james-daisy-miller,United States
james-daisy-miller,Americans
james-daisy-miller,Europe
frederic-damnation-theron-ware,Belief and doubt
frederic-damnation-theron-ware,Methodist Church--Clergy
frederic-damnation-theron-ware,City and town life
frederic-damnation-theron-ware,New York (State)
saroyan-daring-young-man,Manners and customs
saroyan-daring-young-man,California
walpole-dark-forest,World War (1914-1918)
stern-dark-gentleman,Dogs
green-dark-journey,France
green-dark-journey,Romance fiction
green-dark-journey,Country life
green-dark-journey,Interpersonal relations
green-dark-journey,Country life--France
frank-dark-mother,New York (State)--New York
breuer-daughter,France
breuer-daughter,Women--Suicidal behavior
breuer-daughter,Mothers and daughters
smedley-daughter-earth,Radicalism in literature
smedley-daughter-earth,Feminism in literature
sugimoto-daughter-samurai,Manners and customs
sugimoto-daughter-samurai,Japan
sugimoto-daughter-samurai,Etsuko Sugimoto
bosanquet-days-attica,Ellen Sophia Hodgkin Bosanquet
newman-dead-lovers-faithful,"Romance fiction, American"
newman-dead-lovers-faithful,Adultery
newman-dead-lovers-faithful,Virginia--Richmond
newman-dead-lovers-faithful,Georgia--Atlanta
reilly-dead-man-control,New York (State)--New York
reilly-dead-man-control,Police
reilly-dead-man-control,Scottish Americans
footner-dead-mans-hat,Murder--Investigation
footner-dead-mans-hat,False arrest
footner-dead-mans-hat,Bank employees
jeffers-dear-judas,American poetry--20th century
jeffers-dear-judas,American poetry
bamford-dear-miss-heber,England
bamford-dear-miss-heber,Manners and customs
hemingway-death-afternoon,Bullfights
merezhkovsky-death-gods,Rome (Empire)
merezhkovsky-death-gods,Biographical fiction
merezhkovsky-death-gods,Julian
popkin-death-wears-white,New York (State)--New York
popkin-death-wears-white,Murder--Investigation
graves-deauville-taxi,Travel
graves-deauville-taxi,France--Brittany
graves-deauville-taxi,France--Deauville
graves-deauville-taxi,France--Normandy
ogden-debabelization-survey-contemporary,"Language, Universal"
ogden-debabelization-survey-contemporary,Basic English
waugh-decline-fall,England
waugh-decline-fall,Teachers
waugh-decline-fall,Boys--Education
spengler-decline-west,Civilization
spengler-decline-west,Civilization--History
bristow-deep-summer,Louisiana
bristow-deep-summer,Plantation life
fisher-deepening-stream,Manners and customs
fisher-deepening-stream,United States
fisher-deepening-stream,Working class
fisher-deepening-stream,Working class--United States--History
chesterton-defendant,English literature
chesterton-defendant,English literature--19th century
chesterton-defendant,English literature--20th century
synge-deirdre-sorrows,English drama
freud-delusion-dream-interpretation,Wilhelm Jensen
freud-delusion-dream-interpretation,Psychoanalysis in literature
freud-delusion-dream-interpretation,Dreams in literature
freud-delusion-dream-interpretation,Delusions in literature
darwin-descent-man-selection,Human beings--Origin
darwin-descent-man-selection,Sex differences
darwin-descent-man-selection,Evolution (Biology)
darwin-descent-man-selection,Sexual dimorphism (Animals)
darwin-descent-man-selection,Sexual selection in animals
holmboe-desert-encounter,Travel
holmboe-desert-encounter,Libya
holmboe-desert-encounter,"Africa, North"
holmboe-desert-encounter,Africa--Libyan Desert
fiske-destiny-man-viewed,1801-
fiske-destiny-man-viewed,Immortality
fiske-destiny-man-viewed,Human beings
ohiggins-detective-duff-unravels,Man-woman relationships
ohiggins-detective-duff-unravels,Murder--Investigation
ohiggins-detective-duff-unravels,Fathers and sons
ohiggins-detective-duff-unravels,Communication in families
nicoll-development-theatre,Theater
nicoll-development-theatre,Theater--History
thayer-dial,American literature
henderson-dianne-poytiers,Diane de Poitiers
crowley-diary-drug-fiend,Drug addicts
crowley-diary-drug-fiend,Drug abuse
james-diary-man-fifty,Aging
jerome-diary-pilgrimage,Travel
jerome-diary-pilgrimage,Germany
romanov-diary-soviet-marriage,Soviet Union
romanov-diary-soviet-marriage,Married people
king-hall-diary-young-lady,Debutantes
evelyn-diary-john-evelyn,Great Britain
evelyn-diary-john-evelyn,Courts and courtiers
evelyn-diary-john-evelyn,John Evelyn
pepys-diary-samuel-pepys,Manners and customs
pepys-diary-samuel-pepys,Great Britain
lagerlof-diary-selma-lagerlof,Selma Lagerlöf
dickensian-magazine-dickens,Charles Dickens
child-diplomat-looks-europe,United States
child-diplomat-looks-europe,Italy
child-diplomat-looks-europe,Politics and government
child-diplomat-looks-europe,Europe
child-diplomat-looks-europe,Diplomatic relations
drew-discovering-drama,Drama
drew-discovering-drama,Theater
drew-discovering-drama,Theater--History
drew-discovering-drama,Drama--History and criticism
drew-discovering-drama,Drama--Technique
propper-divorce-court-murder,Detective and mystery stories
collins-doctor-looks-biography,"Literature, Modern"
collins-doctor-looks-biography,"Literature, Modern--20th century--History and criticism"
collins-doctor-looks-biography,Autobiography
collins-doctor-looks-biography,Biography as a literary form
collins-doctor-looks-life,Sex (Psychology)
collins-doctor-looks-life,Nervous system--Diseases
collins-doctor-looks-life,Herbert Hoover
collins-doctor-looks-literature,Authors
